mission_name,launch_date,agency,destination,crew_size,duration_days,mission_status,budget_billion_usd,distance_km,payload_kg,success_rate,commander,notes
Apollo 11,1969-07-16,NASA,Moon,3,8,Success,25.4,384400,43900,99.2,Neil Armstrong,First crewed Moon landing
Apollo 13,1970-04-11,NASA,Moon,3,5.9,Partial,25.8,384400,44000,67.0,Jim Lovell,Oxygen tank explosion
Voyager 1,1977-09-05,NASA,Outer Solar System,0,NA,Active,825000000,23000000000,825.5,99.9,,Still operational
Voyager 2,1977-08-20,NASA,Outer Solar System,0,NA,Active,895000000,18000000000,721.9,99.7,,Still operational
Mars Pathfinder,1996-12-04,NASA,Mars,0,85,Success,280000000,78000000,890.0,96.5,,First Mars rover Sojourner
Hubble Space Telescope,1990-04-24,NASA,Low Earth Orbit,0,NA,Active,10000000000,560,11110.0,98.1,,Space telescope
Cassini-Huygens,1997-10-15,NASA/ESA,Saturn,0,4940,Success,3260000000,1200000000,5712.0,97.3,,Studied Saturn system
Mars Curiosity,2011-11-26,NASA,Mars,0,NA,Active,2500000000,78000000,899.0,97.8,,Nuclear-powered rover
New Horizons,2006-01-19,NASA,Pluto,0,NA,Active,700000000,7500000000,478.0,99.1,,Pluto flyby 2015
OSIRIS-REx,2016-09-08,NASA,Asteroid Bennu,0,2192,Success,800000000,334000000,2110.0,96.8,,Returned asteroid samples
Parker Solar Probe,2018-08-12,NASA,Sun,0,NA,Active,1500000000,24000000,685.0,98.9,,Closest approach to Sun
James Webb Space Telescope,2021-12-25,NASA/ESA,L2 Orbit,0,NA,Active,10000000000,1500000,6500.0,99.5,,Infrared space telescope
Artemis I,2022-11-16,NASA,Moon,0,25,Success,23000000000,450000,27000.0,98.7,,First SLS launch
SpaceX Crew Dragon Demo-2,2020-05-30,SpaceX,ISS,2,63,Success,3100000000,408000,12500.0,99.0,Doug Hurley,First commercial crewed flight
Perseverance Rover,2020-07-30,NASA,Mars,0,NA,Active,2700000000,78000000,1025.0,98.2,,Searching for ancient life
BepiColombo,2018-10-20,ESA/JAXA,Mercury,0,NA,En Route,1655000000,77000000,4100.0,95.0,,Mercury orbiter
Solar Orbiter,2020-02-10,ESA,Sun,0,NA,Active,1500000000,150000000,1800.0,96.3,,Solar mission
Tianwen-1,2020-07-23,CNSA,Mars,0,NA,Active,NA,78000000,5000.0,97.0,,China's first Mars mission
Chang'e 5,2020-11-24,CNSA,Moon,0,23,Success,NA,384400,8200.0,98.5,,Returned Moon samples
Hayabusa2,2014-12-03,JAXA,Asteroid Ryugu,0,1950,Success,30000000000,300000000,590.0,97.6,,Returned asteroid samples
Akatsuki,2010-05-21,JAXA,Venus,0,NA,Active,16400000000,261000000,517.6,93.0,,Venus climate orbiter
Mars Express,2003-06-02,ESA,Mars,0,NA,Active,300000000,78000000,1223.0,96.0,,Mars orbiter
Venus Express,2005-11-09,ESA,Venus,0,3260,Success,220000000,261000000,1240.0,95.5,,Venus orbiter
Rosetta,2004-03-02,ESA,Comet 67P,0,4385,Success,1400000000,800000000,3000.0,95.8,,First comet landing
Dawn,2007-09-27,NASA,Vesta/Ceres,0,4080,Success,446000000,400000000,1218.0,96.2,,First to orbit dwarf planet
Juno,2011-08-05,NASA,Jupiter,0,NA,Active,1100000000,600000000,3625.0,97.1,,Jupiter orbiter
MAVEN,2013-11-18,NASA,Mars,0,NA,Active,671000000,78000000,2454.0,96.8,,Mars atmosphere mission
InSight,2018-05-05,NASA,Mars,0,1449,Success,993000000,78000000,694.0,95.4,,Mars seismometer
Mars Reconnaissance Orbiter,2005-08-12,NASA,Mars,0,NA,Active,720000000,78000000,2180.0,97.3,,High-res Mars imaging
Opportunity Rover,2003-07-07,NASA,Mars,0,5352,Success,400000000,78000000,185.0,97.9,,Record Mars surface mission
Spirit Rover,2003-06-10,NASA,Mars,0,2208,Success,400000000,78000000,185.0,96.5,,Mars exploration rover
Lunar Reconnaissance Orbiter,2009-06-18,NASA,Moon,0,NA,Active,583000000,384400,1916.0,98.0,,Lunar mapping
LCROSS,2009-06-18,NASA,Moon,0,112,Success,79000000,384400,891.0,96.0,,Found water on Moon
LADEE,2013-09-07,NASA,Moon,0,192,Success,280000000,384400,383.0,95.2,,Lunar dust study
Lunar Flashlight,2022-12-11,NASA,Moon,0,6,Failure,14500000,384400,14.0,0.0,,Failed to reach orbit
CAPSTONE,2022-06-28,NASA,Moon,0,NA,Active,32700000,384400,25.0,94.0,,Lunar Gateway pathfinder
Artemis II,2025-04-01,NASA,Moon,4,10,Planned,NA,450000,27000.0,NA,Reid Wiseman,First crewed Artemis
IMAP,2025-05-01,NASA,L1 Orbit,0,NA,Planned,492000000,1500000,NA,NA,,Heliosphere mission
Europa Clipper,2024-10-14,NASA,Jupiter/Europa,0,NA,En Route,5000000000,780000000,6065.0,NA,,Search for life on Europa
Dragonfly,2028-01-01,NASA,Titan,0,NA,Planned,3350000000,1200000000,NA,NA,,Rotorcraft on Titan
Lunar Gateway,2025-01-01,NASA/ESA,Moon Orbit,NA,NA,Planned,NA,384400,NA,NA,,Lunar space station
Mars Sample Return,2030-01-01,NASA/ESA,Mars,0,NA,Planned,10000000000,78000000,NA,NA,,Return Perseverance samples
